npts,vid,t1,t2,xcc,ycc,xycc,subj1,subj2,spec1,spec2
553,tv-talk05,410o,189o,0.08490149989963479,-0.03112304379223875,0.02688922805369802,Denis,HH0310,human,marmo
553,tv-talk05,410o,310o,-0.32768165217315587,0.02776178384386902,-0.14995993416464343,Denis,HH0310,human,marmo
553,tv-talk05,410o,333o,0.0367089903086835,-0.1155052932038274,-0.039398151447571944,Denis,HH0301,human,marmo
553,tv-talk05,410o,338o,0.2301558065661915,-0.05312023923704967,0.08851778366457091,Denis,HH0301,human,marmo
553,tv-talk05,468o,1038o,0.18504074061318818,0.40748759697345294,0.29626416879332057,Sub1,Ueno,human,macaq
553,tv-talk05,468o,1043o,-0.019677873826718158,0.19342781017741345,0.08687496817534765,Sub1,Ueno,human,macaq
553,tv-talk05,468o,1139o,0.030483083349742292,-0.1141485311003599,-0.0418327238753088,Sub1,Ojo,human,macaq
553,tv-talk05,468o,1258o,0.035936380948056595,-0.1346095725704168,-0.049336595811180106,Sub1,Ojo,human,macaq
553,tv-talk05,468o,126o,-0.01371740111583531,-0.07619661972230123,-0.04495701041906827,Sub1,HH0293,human,marmo
553,tv-talk05,468o,189o,-0.467922410344211,-0.26496429243687164,-0.3664433513905413,Sub1,HH0310,human,marmo
553,tv-talk05,468o,310o,0.1566463745103334,-0.15823445504117253,-0.0007940402654195711,Sub1,HH0310,human,marmo
553,tv-talk05,468o,333o,0.10336091270976448,-0.1998965283288292,-0.04826780780953236,Sub1,HH0301,human,marmo
553,tv-talk05,468o,338o,-0.17824164079646296,-0.24257843668164888,-0.21041003873905592,Sub1,HH0301,human,marmo
553,tv-talk05,468o,410o,-0.023922042454531618,-0.035328739036551676,-0.029625390745541647,Sub1,Denis,human,human
553,tv-talk05,548o,1038o,0.1631497088220674,-0.1354203154751637,0.013864696673451846,Sub1,Ueno,human,macaq
553,tv-talk05,548o,1043o,-0.05479716446455594,-0.20588839884691207,-0.130342781655734,Sub1,Ueno,human,macaq
553,tv-talk05,548o,1139o,0.01649354538205596,0.2445638271649968,0.13052868627352637,Sub1,Ojo,human,macaq
553,tv-talk05,548o,1258o,-0.2583076168760833,0.010728659969886018,-0.12378947845309864,Sub1,Ojo,human,macaq
553,tv-talk05,548o,126o,-0.02581516419309235,0.3248699101661678,0.14952737298653773,Sub1,HH0293,human,marmo
553,tv-talk05,548o,189o,0.24636001924293055,0.14056385312375377,0.19346193618334218,Sub1,HH0310,human,marmo
553,tv-talk05,548o,310o,-0.0717752662546091,0.25028363708000606,0.08925418541269847,Sub1,HH0310,human,marmo
553,tv-talk05,548o,333o,-0.14628052575763276,-0.30203925627128025,-0.2241598910144565,Sub1,HH0301,human,marmo
553,tv-talk05,548o,338o,0.09173397328618073,-0.08785410444478853,0.0019399344206961003,Sub1,HH0301,human,marmo
553,tv-talk05,548o,410o,0.029799858142525584,0.008864074230252657,0.01933196618638912,Sub1,Denis,human,human
553,tv-talk05,548o,468o,-0.08864639961606507,-0.05972986095399219,-0.07418813028502863,Sub1,Sub1,human,human
553,tv-talk05,609o,1038o,-0.1456628240088674,-0.08822929758714809,-0.11694606079800775,Sub2,Ueno,human,macaq
553,tv-talk05,609o,1043o,0.15297404110806584,0.13898844800292892,0.14598124455549738,Sub2,Ueno,human,macaq
553,tv-talk05,609o,1139o,-0.1380659170647065,-0.07143185574394477,-0.10474888640432564,Sub2,Ojo,human,macaq
553,tv-talk05,609o,1258o,-0.08871556554423551,0.15388339415493832,0.0325839143053514,Sub2,Ojo,human,macaq
553,tv-talk05,609o,126o,0.24461025948355608,-0.015948329307823653,0.11433096508786622,Sub2,HH0293,human,marmo
