subj,date,trialcsv,muscimol
Julian,2022-11-15,salient_movieclip_wajd_Julian_202211_15124544.csv,False
Julian,2022-11-18,salient_movieclip_wajd_Julian_202211_18114316.csv,False
Julian,2022-11-18,salient_movieclip_wajd_Julian_202211_18112922.csv,False
Julian,2022-11-22,salient_movieclip_wajd_Julian_202211_22114906.csv,False
Julian,2022-11-22,salient_movieclip_wajd_Julian_202211_22113628.csv,False
Julian,2022-11-22,salient_movieclip_wajd_Julian_202211_22113157.csv,False
Julian,2022-11-24,salient_movieclip_wajd_Julian_202211_24114351.csv,False
Julian,2022-11-24,salient_movieclip_wajd_Julian_202211_24113848.csv,False
Julian,2022-11-24,salient_movieclip_wajd_Julian_202211_24113402.csv,False
Julian,2022-11-25,salient_movieclip_wajd_Julian_202211_25122855.csv,False
Julian,2022-11-25,salient_movieclip_wajd_Julian_202211_25124320.csv,False
Julian,2022-11-25,salient_movieclip_wajd_Julian_202211_25123647.csv,False
Julian,2022-11-28,salient_movieclip_wajd_Julian_202211_28114904.csv,False
Julian,2022-11-28,salient_movieclip_wajd_Julian_202211_28115301.csv,False
Julian,2022-11-28,salient_movieclip_wajd_Julian_202211_28115742.csv,False
Julian,2022-11-30,salient_movieclip_wajd_Julian_202211_30124228.csv,False
Julian,2022-11-30,salient_movieclip_wajd_Julian_202211_30125137.csv,False
Julian,2022-11-30,salient_movieclip_wajd_Julian_202211_30124813.csv,False
Julian,2022-12-05,salient_movieclip_wajd_Julian_202212_05130732.csv,False
Julian,2022-12-05,salient_movieclip_wajd_Julian_202212_05131318.csv,False
Julian,2022-12-05,salient_movieclip_wajd_Julian_202212_05131723.csv,False
Julian,2022-12-05,salient_movieclip_wajd_Julian_202212_05130506.csv,False
Julian,2022-12-06,salient_movieclip_wajd_Julian_202212_06130602.csv,False
Julian,2022-12-06,salient_movieclip_wajd_Julian_202212_06130304.csv,False
Julian,2022-12-06,salient_movieclip_wajd_Julian_202212_06131334.csv,False
Julian,2022-12-08,salient_movieclip_wajd_Julian_202212_08130530.csv,False
Julian,2022-12-08,salient_movieclip_wajd_Julian_202212_08130435.csv,False
Julian,2022-12-08,salient_movieclip_wajd_Julian_202212_08130611.csv,False
